,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
0,tt8291224,8.4,35112,Uri: The Surgical Strike,2019,Action|Drama|War
1,tt9472208,4.1,73,Battalion 609,2019,War
2,tt6986710,6.1,5549,The Accidental Prime Minister,2019,Biography|Drama
3,tt8108208,6,1891,Why Cheat India,2019,Crime|Drama
4,tt6028796,7.3,280,Evening Shadows,2018,Drama
5,tt6078866,7.2,1595,Soni,2018,Drama
6,tt5013008,4.2,504,Fraud Saiyaan,2019,Comedy|Drama
7,tt4971258,4.3,295,Bombairiya,2019,Comedy|Crime|Drama
8,tt6903440,6.5,7361,Manikarnika: The Queen of Jhansi,2019,Action|Biography|Drama
9,tt7777196,5.1,2301,Thackeray,2019,Biography|Drama
10,tt8396186,2.8,235,Amavas,2019,Horror|Thriller
11,tt2395469,8.2,22440,Gully Boy,2019,Drama|Music
12,tt9319812,5.6,183,Hum chaar,2019,Drama
13,tt7639372,4.3,4817,Total Dhamaal,2019,Action|Adventure|Comedy
14,tt8108200,7.5,2322,Sonchiriya,2019,Action|Crime|Drama
15,tt8130968,7.9,15499,Badla,2019,Crime|Drama|Mystery
16,tt8055888,7.4,3969,Mard Ko Dard Nahin Hota,2018,Action|Comedy
17,tt7527082,7.7,560,Hamid,2018,Drama
18,tt7778680,6.9,2391,Photograph,2019,Drama|Romance
19,tt9795264,6.7,11,Risknamaa,2019,Thriller
20,tt8207768,6.8,344,Mere Pyare Prime Minister,2018,Drama
21,tt9496212,5.3,124,22 Yards,2019,Sport
22,tt6264938,7.4,10653,Kesari,2019,Action|Drama|History
23,tt9105014,6.8,1335,Notebook,2019,Drama|Romance
24,tt7463730,5.3,1064,Junglee,2019,Action|Adventure
25,tt10017956,7.1,178,Gone Kesh,2019,Drama
26,tt4355838,4.8,56,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Drama
27,tt8108268,8,5524,The Tashkent Files,2019,Drama|Mystery|Thriller
28,tt6988116,3.6,9106,Kalank,2019,Drama|Romance
29,tt9239772,5.1,158,Setters,2019,Thriller
30,tt7255568,2.5,12671,Student of the Year 2,2019,Drama|Romance|Sport
31,tt9558612,3.3,4484,PM Narendra Modi,2019,Biography|Drama
32,tt8647400,6.6,5387,De De Pyaar De,2019,Comedy|Romance
33,tt8484942,4.4,1449,India's Most Wanted,2019,Action|Thriller
34,tt5525846,5.7,169,Yeh Hai India,2017,Action|Adventure|Drama
35,tt8268972,3.7,153,Khamoshi,2019,Horror|Thriller
36,tt8983202,7.2,20535,Kabir Singh,2019,Drama|Romance
37,tt10324144,8.3,13417,Article 15,2019,Crime|Drama
38,tt8130558,6.8,590,One Day: Justice Delivered,2019,Action|Crime|Thriller
39,tt6862542,7.4,85,Hume Tumse Pyaar Kitna,2019,Action|Drama|Romance
40,tt7485048,8.2,13972,Super 30,2019,Biography|Drama
41,tt8897986,9.4,895,Family of Thakurganj,2019,Action|Drama
42,tt8869978,7.3,5556,Batla House,2019,Action|Drama|Thriller
43,tt8206760,4.8,215,Jhootha Kahin Ka,2019,Comedy
44,tt8108196,6,3269,Judgementall Hai Kya,2019,Comedy|Drama|Thriller
45,tt7189494,6,19,Chicken Curry Law,2019,Drama
46,tt7881524,4.1,676,Arjun Patiala,2019,Action|Comedy
47,tt8785426,4.2,767,Jabariya Jodi,2019,Action|Comedy|Drama
48,tt7228072,7,43,Pranaam,2019,Action|Crime|Drama
49,tt8902990,6.6,1659,The Sky Is Pink,2019,Drama|Family|Romance
50,tt9248972,6.5,7165,Mission Mangal,2019,Drama|History
51,tt6836936,5.5,12049,Saaho,2019,Action|Thriller
52,tt9248940,7.5,4077,Dream Girl,2019,Comedy|Romance
53,tt8144834,8.4,1841,Section 375,2019,Crime|Drama
54,tt8304386,4.1,683,The Zoya Factor,2019,Comedy|Drama|Romance
55,tt6978954,4.6,562,Pal Pal Dil Ke Paas,2019,Action|Drama|Romance
56,tt8706884,6,272,Prassthanam,2019,Action|Drama
57,tt10816510,7.8,777,P Se Pyaar F Se Faraar,2019,Crime|Drama|Romance
58,tt9378950,8.7,1379,Ghost,2019,Horror|Thriller
59,tt9420648,8.2,1369,Bala,2019,Comedy
60,tt11007050,5.7,7,#Yaaram,2019,Comedy|Romance
61,tt7721946,3.3,4572,Housefull 4,2019,Action|Comedy|Fantasy
62,tt8108206,8.9,1902,Saand Ki Aankh,2019,Biography|Drama
63,tt8983180,6.3,596,Made in China,2019,Comedy|Drama
64,tt11046300,8.1,1440,Ujda Chaman,2019,Comedy
65,tt9176260,7.1,51,Bypass Road,2019,Drama|Thriller
66,tt9179426,4.6,34,Satellite Shankar,2019,Action|Drama
67,tt6102396,6.2,1978,Kaalakaandi,2018,Comedy|Thriller
68,tt6275262,5.6,959,Vodka Diaries,2018,Mystery|Thriller
69,tt4335954,5.5,215,My Birthday Song,2018,Thriller
70,tt7723022,3.8,108,Nirdosh,2018,Drama|Mystery|Thriller
71,tt7180544,8.1,5434,The Brawler,2017,Action|Drama|Sport
72,tt6395306,7.6,1503,Union Leader,2017,Drama
73,tt7853242,7.2,6248,Love Per Square Foot,2018,Comedy|Romance
74,tt6774212,5.2,3538,Aiyaary,2018,Action|Thriller
75,tt5935704,7,24550,Padmaavat,2018,Drama|History|Romance
76,tt7617988,7.5,578,Kuchh Bheege Alfaaz,2018,Romance
77,tt7720254,4.4,25,Jaane kyun de yaaron,2018,Drama
78,tt7262178,2.8,380,Veerey Ki Wedding,2018,Comedy|Romance
79,tt7581902,7.1,17378,Sonu Ke Titu Ki Sweety,2018,Comedy|Romance
80,tt5325684,3.3,1203,Hate Story IV,2018,Crime|Drama|Thriller
81,tt6071752,4,289,Dil Juunglee,2018,Comedy|Romance
82,tt4552546,7.1,288,3 Storeys,2018,Drama
83,tt7363076,7.4,13159,Raid,2018,Action|Crime|Drama
84,tt6588966,7.5,8129,Hichki,2018,Comedy|Drama
